# year, Ptot_Chl_result_clim
0.04371584699453552,0.04947684
0.12568306010928962,0.029760465
0.20491803278688525,0.01856785
0.20765027322404372,0.021976063
0.2896174863387978,0.015892271
0.2923497267759563,0.016903054
0.37158469945355194,0.022406597
0.3743169398907104,0.045639694
0.4562841530054645,0.05097401
0.45901639344262296,0.17129816
0.5382513661202186,0.11054594
0.5409836065573771,0.21661527
0.6229508196721312,0.22309141
0.6256830601092896,0.23833455
0.7076502732240437,0.3180761
0.7103825136612022,0.25615022
0.7896174863387978,0.29831043
0.7923497267759563,0.24960215
0.8743169398907104,0.20571382
0.8770491803278688,0.18514292
0.9562841530054644,0.10623244
0.9590163934426229,0.1271811
1.0437158469945356,0.04947684
1.1256830601092895,0.029760465
1.2049180327868854,0.01856785
1.2076502732240437,0.021976063
1.289617486338798,0.015892271
1.2923497267759563,0.016903054
1.3715846994535519,0.022406597
1.3743169398907105,0.045639694
1.4562841530054644,0.05097401
1.459016393442623,0.17129816
1.5382513661202186,0.11054594
1.540983606557377,0.21661527
1.6229508196721312,0.22309141
1.6256830601092895,0.23833455
1.7076502732240437,0.3180761
1.710382513661202,0.25615022
1.789617486338798,0.29831043
1.7923497267759563,0.24960215
1.8743169398907105,0.20571382
1.8770491803278688,0.18514292
1.9562841530054644,0.10623244
1.959016393442623,0.1271811
2.0437158469945356,0.04947684
2.1256830601092895,0.029760465
2.2049180327868854,0.01856785
2.2076502732240435,0.021976063
2.289617486338798,0.015892271
2.2923497267759565,0.016903054
2.371584699453552,0.022406597
2.3743169398907105,0.045639694
2.4562841530054644,0.05097401
2.459016393442623,0.17129816
2.5382513661202184,0.11054594
2.540983606557377,0.21661527
2.6229508196721314,0.22309141
2.6256830601092895,0.23833455
2.7076502732240435,0.3180761
2.710382513661202,0.25615022
2.789617486338798,0.29831043
2.7923497267759565,0.24960215
2.8743169398907105,0.20571382
2.8770491803278686,0.18514292
2.9562841530054644,0.10623244
2.959016393442623,0.1271811
3.0437158469945356,0.04947684
3.1256830601092895,0.029760465
3.2049180327868854,0.01856785
3.2076502732240435,0.021976063
3.289617486338798,0.015892271
3.2923497267759565,0.016903054
3.371584699453552,0.022406597
3.3743169398907105,0.045639694
3.4562841530054644,0.05097401
3.459016393442623,0.17129816
3.5382513661202184,0.11054594
3.540983606557377,0.21661527
3.6229508196721314,0.22309141
3.6256830601092895,0.23833455
3.7076502732240435,0.3180761
3.710382513661202,0.25615022
3.789617486338798,0.29831043
3.7923497267759565,0.24960215
3.8743169398907105,0.20571382
3.8770491803278686,0.18514292
3.9562841530054644,0.10623244
3.959016393442623,0.1271811
