# year, Ptot_NPP_result_clim
0.04371584699453552,11.871355
0.12568306010928962,7.9146776
0.20491803278688525,5.6373224
0.20765027322404372,5.581047
0.2896174863387978,4.5203133
0.2923497267759563,4.672495
0.37158469945355194,5.259652
0.3743169398907104,8.020986
0.4562841530054645,9.4919
0.45901639344262296,17.014317
0.5382513661202186,15.905448
0.5409836065573771,22.72318
0.6229508196721312,23.908676
0.6256830601092896,26.12291
0.7076502732240437,30.241884
0.7103825136612022,28.106535
0.7896174863387978,30.206663
0.7923497267759563,29.116922
0.8743169398907104,26.60408
0.8770491803278688,23.828417
0.9562841530054644,18.985449
0.9590163934426229,19.56189
1.0437158469945356,11.871355
1.1256830601092895,7.9146776
1.2049180327868854,5.6373224
1.2076502732240437,5.581047
1.289617486338798,4.5203133
1.2923497267759563,4.672495
1.3715846994535519,5.259652
1.3743169398907105,8.020986
1.4562841530054644,9.4919
1.459016393442623,17.014317
1.5382513661202186,15.905448
1.540983606557377,22.72318
1.6229508196721312,23.908676
1.6256830601092895,26.12291
1.7076502732240437,30.241884
1.710382513661202,28.106535
1.789617486338798,30.206663
1.7923497267759563,29.116922
1.8743169398907105,26.60408
1.8770491803278688,23.828417
1.9562841530054644,18.985449
1.959016393442623,19.56189
2.0437158469945356,11.871355
2.1256830601092895,7.9146776
2.2049180327868854,5.6373224
2.2076502732240435,5.581047
2.289617486338798,4.5203133
2.2923497267759565,4.672495
2.371584699453552,5.259652
2.3743169398907105,8.020986
2.4562841530054644,9.4919
2.459016393442623,17.014317
2.5382513661202184,15.905448
2.540983606557377,22.72318
2.6229508196721314,23.908676
2.6256830601092895,26.12291
2.7076502732240435,30.241884
2.710382513661202,28.106535
2.789617486338798,30.206663
2.7923497267759565,29.116922
2.8743169398907105,26.60408
2.8770491803278686,23.828417
2.9562841530054644,18.985449
2.959016393442623,19.56189
3.0437158469945356,11.871355
3.1256830601092895,7.9146776
3.2049180327868854,5.6373224
3.2076502732240435,5.581047
3.289617486338798,4.5203133
3.2923497267759565,4.672495
3.371584699453552,5.259652
3.3743169398907105,8.020986
3.4562841530054644,9.4919
3.459016393442623,17.014317
3.5382513661202184,15.905448
3.540983606557377,22.72318
3.6229508196721314,23.908676
3.6256830601092895,26.12291
3.7076502732240435,30.241884
3.710382513661202,28.106535
3.789617486338798,30.206663
3.7923497267759565,29.116922
3.8743169398907105,26.60408
3.8770491803278686,23.828417
3.9562841530054644,18.985449
3.959016393442623,19.56189
